date_reference;semaine_injection;Region_residence;Libelle_region;departement_residence;libelle_departement;population_insee;classe_age;libelle_classe_age;type_vaccin;effectif_1_inj;effectif_termine;effectif_cumu_1_inj;effectif_cumu_termine;taux_1_inj;taux_termine;taux_cumu_1_inj;taux_cumu_termine;date;Effectif_rappel;Effectif_cumu_rappel;Effectif_rappel_parmi_eligible;Effectif_eligible_au_rappel;TAUX_rappel;TAUX_CUMU_rappel;TAUX_CUMU_rappeleli
2022-11-06;2021-29;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;691770;TOUT_AGE;Tout âge;NUVAXOVID Novavax;;;;;;;;;2021-07-25;;;;;;;
2022-11-06;2021-29;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;691770;TOUT_AGE;Tout âge;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-07-25;;;;;;;
2022-11-06;2021-29;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;691770;TOUT_AGE;Tout âge;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-07-25;;;;;;;
2022-11-06;2021-29;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;691770;TOUT_AGE;Tout âge;Tout vaccin;20410;32260;442380;380790;0.03;0.047;0.639;0.55;2021-07-25;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;COMIRNATY Pfizer-BioNTech;;;30;;;;0.0;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;SPIKEVAX Moderna;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;VAXZEVRIA AstraZeneca;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;JCOVDEN Janssen;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;NUVAXOVID Novavax;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;Tout vaccin;;;30;;;;0.0;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;COMIRNATY Pfizer-BioNTech;3690;3220;17610;8520;0.079;0.069;0.377;0.182;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;SPIKEVAX Moderna;70;20;180;60;0.002;0.0;0.004;0.001;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;VAXZEVRIA AstraZeneca;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;JCOVDEN Janssen;;;20;20;;;0.0;0.0;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;NUVAXOVID Novavax;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;Tout vaccin;3760;3240;17800;8600;0.08;0.069;0.381;0.184;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;COMIRNATY Pfizer-BioNTech;3690;3540;33460;24580;0.075;0.072;0.681;0.5;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;SPIKEVAX Moderna;400;170;2650;1570;0.008;0.004;0.054;0.032;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;VAXZEVRIA AstraZeneca;;;280;50;;;0.006;0.001;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;JCOVDEN Janssen;;;70;70;;;0.001;0.001;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;NUVAXOVID Novavax;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;Tout vaccin;4100;3720;36460;26270;0.083;0.076;0.742;0.534;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;COMIRNATY Pfizer-BioNTech;6610;5850;67080;52670;0.06;0.053;0.612;0.48;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;SPIKEVAX Moderna;860;340;6870;4340;0.008;0.003;0.063;0.04;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;VAXZEVRIA AstraZeneca;;;1700;150;;;0.015;0.001;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;JCOVDEN Janssen;30;30;250;260;0.0;0.0;0.002;0.002;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;NUVAXOVID Novavax;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;Tout vaccin;7500;6220;75910;57410;0.068;0.057;0.692;0.524;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;134420;40-54;de 40 à 54 ans;COMIRNATY Pfizer-BioNTech;5080;5480;89130;79410;0.038;0.041;0.663;0.591;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;134420;40-54;de 40 à 54 ans;SPIKEVAX Moderna;910;540;9910;7530;0.007;0.004;0.074;0.056;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;134420;40-54;de 40 à 54 ans;VAXZEVRIA AstraZeneca;;10;3890;570;;0.0;0.029;0.004;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;134420;40-54;de 40 à 54 ans;JCOVDEN Janssen;40;40;490;490;0.0;0.0;0.004;0.004;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;134420;40-54;de 40 à 54 ans;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;134420;40-54;de 40 à 54 ans;NUVAXOVID Novavax;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;134420;40-54;de 40 à 54 ans;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;134420;40-54;de 40 à 54 ans;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;134420;40-54;de 40 à 54 ans;Tout vaccin;6040;6070;103420;88000;0.045;0.045;0.769;0.655;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;95442;55-64;de 55 à 64 ans;COMIRNATY Pfizer-BioNTech;1650;1640;52940;49890;0.017;0.017;0.555;0.523;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;95442;55-64;de 55 à 64 ans;SPIKEVAX Moderna;350;230;6110;5380;0.004;0.002;0.064;0.056;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;95442;55-64;de 55 à 64 ans;VAXZEVRIA AstraZeneca;20;390;16430;14870;0.0;0.004;0.172;0.156;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;95442;55-64;de 55 à 64 ans;JCOVDEN Janssen;320;320;3920;3930;0.003;0.003;0.041;0.041;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;95442;55-64;de 55 à 64 ans;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;95442;55-64;de 55 à 64 ans;NUVAXOVID Novavax;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;95442;55-64;de 55 à 64 ans;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;95442;55-64;de 55 à 64 ans;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;95442;55-64;de 55 à 64 ans;Tout vaccin;2330;2580;79400;74060;0.024;0.027;0.832;0.776;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;88627;65-74;de 65 à 74 ans;COMIRNATY Pfizer-BioNTech;710;820;53370;52050;0.008;0.009;0.602;0.587;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;88627;65-74;de 65 à 74 ans;SPIKEVAX Moderna;200;150;5790;5450;0.002;0.002;0.065;0.061;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;88627;65-74;de 65 à 74 ans;VAXZEVRIA AstraZeneca;20;160;18030;17040;0.0;0.002;0.203;0.192;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;88627;65-74;de 65 à 74 ans;JCOVDEN Janssen;160;160;2120;2120;0.002;0.002;0.024;0.024;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;88627;65-74;de 65 à 74 ans;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;88627;65-74;de 65 à 74 ans;NUVAXOVID Novavax;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;88627;65-74;de 65 à 74 ans;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;88627;65-74;de 65 à 74 ans;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;88627;65-74;de 65 à 74 ans;Tout vaccin;1080;1290;79310;76660;0.012;0.015;0.895;0.865;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;86933;75 et +;75 ans et plus;COMIRNATY Pfizer-BioNTech;400;370;65020;63710;0.005;0.004;0.748;0.733;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;86933;75 et +;75 ans et plus;SPIKEVAX Moderna;130;110;4210;3890;0.001;0.001;0.048;0.045;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;86933;75 et +;75 ans et plus;VAXZEVRIA AstraZeneca;;70;5030;4700;;0.001;0.058;0.054;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;86933;75 et +;75 ans et plus;JCOVDEN Janssen;100;100;1250;1250;0.001;0.001;0.014;0.014;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;86933;75 et +;75 ans et plus;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;86933;75 et +;75 ans et plus;NUVAXOVID Novavax;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;86933;75 et +;75 ans et plus;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;86933;75 et +;75 ans et plus;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;86933;75 et +;75 ans et plus;Tout vaccin;640;650;75510;73560;0.007;0.008;0.869;0.846;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;691770;TOUT_AGE;Tout âge;COMIRNATY Pfizer-BioNTech;21820;20910;378620;330830;0.032;0.03;0.547;0.478;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;691770;TOUT_AGE;Tout âge;SPIKEVAX Moderna;2920;1550;35730;28220;0.004;0.002;0.052;0.041;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;691770;TOUT_AGE;Tout âge;VAXZEVRIA AstraZeneca;50;640;45370;37380;0.0;0.001;0.066;0.054;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;691770;TOUT_AGE;Tout âge;JCOVDEN Janssen;670;670;8120;8140;0.001;0.001;0.012;0.012;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;691770;TOUT_AGE;Tout âge;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;691770;TOUT_AGE;Tout âge;NUVAXOVID Novavax;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;691770;TOUT_AGE;Tout âge;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;691770;TOUT_AGE;Tout âge;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-08-01;;;;;;;
2022-11-06;2021-30;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;691770;TOUT_AGE;Tout âge;Tout vaccin;25460;23770;467840;404560;0.037;0.034;0.676;0.585;2021-08-01;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;COMIRNATY Pfizer-BioNTech;;;30;;;;0.0;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;SPIKEVAX Moderna;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;VAXZEVRIA AstraZeneca;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;JCOVDEN Janssen;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;NUVAXOVID Novavax;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;80827;00-11;de 0 à 11 ans;Tout vaccin;;;30;;;;0.0;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;COMIRNATY Pfizer-BioNTech;4120;2220;21730;10740;0.088;0.048;0.465;0.23;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;SPIKEVAX Moderna;110;;280;70;0.002;;0.006;0.001;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;VAXZEVRIA AstraZeneca;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;JCOVDEN Janssen;;;20;20;;;0.0;0.0;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;NUVAXOVID Novavax;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;46746;12-17;de 12 à 17 ans;Tout vaccin;4240;2240;22040;10830;0.091;0.048;0.471;0.232;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;COMIRNATY Pfizer-BioNTech;2920;2250;36380;26830;0.059;0.046;0.74;0.546;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;SPIKEVAX Moderna;260;190;2910;1760;0.005;0.004;0.059;0.036;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;VAXZEVRIA AstraZeneca;;;280;50;;;0.006;0.001;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;JCOVDEN Janssen;;;80;80;;;0.002;0.002;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;NUVAXOVID Novavax;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;49155;18-24;de 18 à 24 ans;Tout vaccin;3190;2450;39650;28720;0.065;0.05;0.807;0.584;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;COMIRNATY Pfizer-BioNTech;5310;3630;72400;56300;0.048;0.033;0.66;0.514;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;SPIKEVAX Moderna;540;430;7410;4770;0.005;0.004;0.068;0.044;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;VAXZEVRIA AstraZeneca;;;1700;160;;;0.016;0.001;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;JCOVDEN Janssen;20;20;270;270;0.0;0.0;0.002;0.002;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;COMIRNATY Pfizer-BioNTech pédiatrique;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;NUVAXOVID Novavax;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;COMIRNATY ORIGINAL/OMICRON BA.5 Pfizer-B;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;SPIKEVAX ORIGINAL/OMICRON BA.1 Moderna;;;;;;;;;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;109620;25-39;de 25 à 39 ans;Tout vaccin;5870;4090;81780;61500;0.054;0.037;0.746;0.561;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;134420;40-54;de 40 à 54 ans;COMIRNATY Pfizer-BioNTech;4170;3270;93290;82670;0.031;0.024;0.694;0.615;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;134420;40-54;de 40 à 54 ans;SPIKEVAX Moderna;670;530;10580;8060;0.005;0.004;0.079;0.06;2021-08-08;;;;;;;
2022-11-06;2021-31;75;Nouvelle-Aquitaine;64;Pyrénées-Atlantiques;134420;40-54;de 40 à 54 ans;VAXZEVRIA AstraZeneca;;;3890;580;;;0.029;0.004;2021-08-08;;;;;;;
